video_id,published,duration_sec,views,export_module,is_export_related,topics,title,url
US2LzomAbq0,2021-09-01,642,7598,,N,취업/커리어,해외영업 취업 알아두면 좋은 여러가지 사항들은? ep.1,https://www.youtube.com/watch?v=US2LzomAbq0
cvInUDUsHWA,2021-08-27,539,6109,M08 HS/관세/환급,Y,통관일반/관세,"이거 친구한테 선물받은건데 관세 내야 하나요? (ft. 관세평가, 과세가격 결정, 가격신고)",https://www.youtube.com/watch?v=cvInUDUsHWA
05CYpuQdAJI,2021-08-25,554,13830,,N,운송/B/L/포워딩|무역서류|자격증/시험|취업/커리어,"관세법인 vs 포워딩회사, 자격증 추천 및 어학능력 연봉은? ep.2",https://www.youtube.com/watch?v=05CYpuQdAJI
glgvu3gcCas,2021-08-20,432,13489,M12 결제/신용장/외환,Y,결제/신용장/외환|자격증/시험,"이것이 실전무역이다, 환어음 5분만에 해석하기!",https://www.youtube.com/watch?v=glgvu3gcCas
L2Gs3wQrC3E,2021-08-18,584,11734,,N,운송/B/L/포워딩|무역서류|자격증/시험|취업/커리어,"관세법인vs포워딩회사, 나의 적성은 어디가 맞을까? ep.1",https://www.youtube.com/watch?v=L2Gs3wQrC3E
Mu8rsjX6unE,2021-08-13,560,1306,,N,통관일반/관세|세무/노무/기타,"세금 안내도 되는 비과세, 제출비과세와 미제출비과세에 해당하는 것은?",https://www.youtube.com/watch?v=Mu8rsjX6unE
G9vbWvIjuTs,2021-08-11,645,3345,M13 규제/요건,Y,무역규제/요건|자격증/시험,"수출입제한에 걸렸다? 수출입공고, 통합공고에 대해 알아야합니다",https://www.youtube.com/watch?v=G9vbWvIjuTs
D_H9DcZHG8I,2021-08-06,968,1073,,N,세무/노무/기타,왕초보 세금상식! 원천세 홈택스에서 신고하는 방법까지 알려드림,https://www.youtube.com/watch?v=D_H9DcZHG8I
82nz-B4bNcY,2021-08-03,543,2260,,N,통관일반/관세|자격증/시험,2020년 4년차 합격자가 말하는 2021년 관세사 2차시험,https://www.youtube.com/watch?v=82nz-B4bNcY
e8xtVARpB20,2021-07-30,1271,1846,M02 인코텀즈,Y,인코텀즈|운송/B/L/포워딩|자격증/시험,CIF 규칙 2편 개별의무 인코텀즈(Incoterms)2020,https://www.youtube.com/watch?v=e8xtVARpB20
iW8eYyF6j2o,2021-07-27,1411,5421,M02 인코텀즈,Y,인코텀즈|운송/B/L/포워딩|자격증/시험,CIF 규칙 1편 설명문 인코텀즈(Incoterms)2020,https://www.youtube.com/watch?v=iW8eYyF6j2o
6Li3CPehzsk,2021-07-20,904,3569,,N,운송/B/L/포워딩|보험|무역서류|개인/여행/직구|자격증/시험,해외여행 시 항공사의 보상한도와 기준(물품파손... 등등),https://www.youtube.com/watch?v=6Li3CPehzsk
Ji_ZygEIR80,2021-07-14,832,11218,M10 운송/물류/B/L,Y,운송/B/L/포워딩|무역서류|자격증/시험,선하증권(B/L) VS 항공화물운송장(AWB),https://www.youtube.com/watch?v=Ji_ZygEIR80
_nIDYVxMG4w,2021-07-02,820,2412,,N,통관일반/관세|자격증/시험,2021년 관세사 2차시험 과목별 총평,https://www.youtube.com/watch?v=_nIDYVxMG4w
tXo9cpfs7PI,2021-06-30,949,5812,,N,통관일반/관세|자격증/시험,이거 이래도 되는거야?? (ft. 2021년 관세사 2차시험 총평),https://www.youtube.com/watch?v=tXo9cpfs7PI
vhXa-oQhujg,2021-06-27,353,4076,,N,자격증/시험,무역영어 상시시험 합격하고 왔습니다 :),https://www.youtube.com/watch?v=vhXa-oQhujg
6qm6UBM7C0A,2021-06-23,602,29054,,N,자격증/시험,관세사 수험생 생활을 시작하시려는 분들에게,https://www.youtube.com/watch?v=6qm6UBM7C0A
jYmb57ItRmY,2021-06-18,523,1043,,N,세무/노무/기타,직장인들 필수사항! 노동법 모르면 당합니다,https://www.youtube.com/watch?v=jYmb57ItRmY
a_Sq30iBm0s,2021-06-16,873,19074,M12 결제/신용장/외환,Y,결제/신용장/외환|무역서류|자격증/시험,신용장 서류제시는 지정은행? 돈 받는건 매입?? 신용장 사용방법 정리!,https://www.youtube.com/watch?v=a_Sq30iBm0s
kJUJ_ALjKiI,2021-06-11,367,6559,,N,무역규제/요건|특수무역형태|개인/여행/직구,"해외여행,직구 짝퉁구매 7년 이하의 징역 또는 1억원?!",https://www.youtube.com/watch?v=kJUJ_ALjKiI
c3Tx6CXuDbU,2021-06-09,400,3188,,N,자격증/시험,관세사 2차시험 답안지 작성 유의사항! 까딱 잘못하면 0점 나옵니다.,https://www.youtube.com/watch?v=c3Tx6CXuDbU
QMbhyvKL2rY,2021-06-02,404,1763,,N,수출통관/신고|수입통관/신고|통관일반/관세|무역서류|개인/여행/직구,반려동물 해외사료 수입을 하려면? (ft. 필요한 서류),https://www.youtube.com/watch?v=QMbhyvKL2rY
