코드군,명칭,코드테이블,개별코드
IMPT_RCD,귀책사유코드,,N
BWRK_CLSS_TPCD,근무반구분코드,,N
CARN_CMDT_USG_CD,까르네물품용도코드,,N
NSKOR_TRDE_TPCD,남북교역구분코드,,N
NSKOR_PASG_MDFY_ITEM_CD,남북통행정정항목코드,,N
TPAY_XTNS_RCD,납기연장사유코드,,N
DMSC_CMDT_RLBR_MDFY_ITEM_CD,내국물품반출입정정항목코드,,N
ITX_TPCD,내국세구분코드,,N
RDTX_TX_TPCD,농특세과세구분코드,,N
CHPN_CHNG_RCD,담당자변경사유코드,,N
MG_ENTS_CHNG_RCD,담보업체변경사유코드,,N
MG_ENTS_CNCL_RCD,담보업체취소사유코드,,N
MG_OFR_RCD,담보제공사유코드,,N
MG_KCD,담보종류코드,,N
MG_KCD_01,담보종류코드_01,,N
CNTN_KCD,대륙종류코드,,N
TRGT_ENTS_TPCD,대상업체구분코드,,N
TRND_TPCD,동향구분코드,,N
TRND_PCD,동향유형코드,,N
NRCT_CMDT_KCD,마약물품종류코드,,N
NRCT_MDAC_ACTI_TPCD,마약약리작용구분코드,,N
NRCT_CNCM_PLC_CD,마약은닉장소코드,,N
NRCT_DRG_USG_TPCD,마약의약용도구분코드,,N
NRCT_DSCL_CRCM_TPCD,마약적발경위구분코드,,N
NRCT_DSCL_RELAPN_PRCS_STCD,마약적발관련자처리상태코드,,N
NRCT_DSCL_XTRN_ITT_CD,마약적발외부기관코드,,N
NRCT_ORGM_ROLE_CD,마약조직원역할코드,,N
NRCT_KCD,마약종류코드,,N
NRCT_CD,마약코드,,N
NRCT_INJC_MCD,마약투여방법코드,,N
NRCT_FORM_CD,마약형태코드,,N
ERSR_TPCD,말소구분코드,,N
CMDT_BRNG_TPCD,물품반입구분코드,,N
CMDT_USG_CD,물품용도코드,,N
CMDT_SBCN_ENTS_FLGH_BUSN_KCD,물품용역업체항공영업종류코드,,N
CMDT_SBCN_ENTS_SEA_BUSN_KCD,물품용역업체해상영업종류코드,,N
CMDT_DSCD_RCD,물품폐기사유코드,,N
NADTN_RCD,미가산사유코드,,N
SMGL_SRC_CD,밀수근원코드,,N
SMGL_DCLR_ACAP_MCD,밀수신고접수방법코드,,N
BRNG_PATH_CD,반입경로코드,,N
BRNG_PCD,반입유형코드,,N
RLSE_PRID_XTNS_TPCD,반출기간연장구분코드,,N
RLSE_RCD,반출사유코드,,N
RLSE_PCD,반출유형코드,,N
RLBR_FRCR_USG_TPCD,반출입외화용도구분코드,,N
DSLS_CSE_CD,발각원인코드,,N
INRG_CMDT_BRND_CD,범칙물품상표코드,,N
INRG_CMDT_PCD,범칙물품유형코드,,N
